Frame 43, ID:22, Class:6, Speed:9.71 km/h
Frame 43, ID:29, Class:7, Speed:40.47 km/h
Frame 43, ID:20, Class:2, Speed:2.14 km/h
Frame 43, ID:49, Class:2, Speed:62.43 km/h
Frame 43, ID:51, Class:2, Speed:8.06 km/h
Frame 43, ID:54, Class:2, Speed:33.97 km/h
Frame 44, ID:1, Class:2, Speed:4.72 km/h
Frame 44, ID:2, Class:2, Speed:14.37 km/h
Frame 44, ID:3, Class:2, Speed:2.46 km/h
Frame 44, ID:4, Class:2, Speed:3.89 km/h
Frame 44, ID:6, Class:2, Speed:3.09 km/h
Frame 44, ID:13, Class:2, Speed:17.04 km/h
Frame 44, ID:22, Class:6, Speed:8.58 km/h
Frame 44, ID:29, Class:2, Speed:41.83 km/h
